DSP,Layer type,Frequency (MHz),Latency (s),Consumption (J)
1,GroupConv,80,0.07810999999999992,0.004912923037719726
1,ShiftConv,80,0.02757799999999985,0.001700669924926758
1,Conv,80,0.11509999999999998,0.007250236660766602
1,DepthwiseConv,80,0.059828000000000034,0.003873419915771485
1,GroupConv,10,0.6371860000000001,0.011203718907737732
1,ShiftConv,10,0.23011800000000013,0.004004482607460022
1,Conv,10,0.9149619999999996,0.01606101208820343
1,DepthwiseConv,10,0.46722800000000014,0.008302555399131772
1,GroupConv,40,0.14908200000000027,0.005730854846191406
1,ShiftConv,40,0.053754000000000024,0.0019594292816162116
1,Conv,40,0.22843999999999987,0.008433065707397458
1,DepthwiseConv,40,0.11742399999999986,0.004530242779541015
1,GroupConv,20,0.31456400000000023,0.007717923339843751
1,ShiftConv,20,0.11103199999999984,0.0026630794555664063
1,Conv,20,0.45327999999999974,0.011061128686523439
1,DepthwiseConv,20,0.2297679999999999,0.0059224329986572255
0,GroupConv,80,0.4801119999999998,0.025144516067504882
0,ShiftConv,80,0.14880400000000013,0.007305321826171876
0,Conv,80,0.8676040000000009,0.04612452418212891
0,DepthwiseConv,80,0.24147800000000003,0.013048392150878906
0,AddConv,80,0.9110379999999999,0.0474002950378418
0,GroupConv,10,3.861533999999998,0.06152634993438785
0,ShiftConv,10,1.2239820000000012,0.019324436148262025
0,Conv,10,7.281433999999999,0.11767810933742397
0,DepthwiseConv,10,1.9119179999999991,0.031953035346221896
0,AddConv,10,7.282526000000001,0.11798441267394959
0,GroupConv,40,0.9248119999999999,0.0308783927581787
0,ShiftConv,40,0.2979099999999996,0.009298286270141606
0,Conv,40,1.731391999999999,0.05641972224426271
0,DepthwiseConv,40,0.4796560000000001,0.01622076408691406
0,AddConv,40,1.8200139999999998,0.06044604420776367
0,GroupConv,20,1.9244600000000003,0.04091831616210939
0,ShiftConv,20,0.6076100000000004,0.01266445082702638
0,Conv,20,3.454064,0.07398677454528803
0,DepthwiseConv,20,0.9515739999999991,0.02160242640380859
0,AddConv,20,3.6326419999999984,0.0789316539459228
