DSP,Layer type,Input channels,Latency (s),Consumption (J)
2,GroupConv,32,0.13767800000000005,0.009308410748291016
2,ShiftConv,32,0.04827600000000011,0.0032175642517089844
2,Conv,32,0.21960400000000013,0.015549559515380862
2,DepthwiseConv,32,0.101602,0.007339192648315429
2,ShiftConv,4,0.011922000000000042,0.00084328212890625
2,Conv,4,0.033123999999999924,0.0024513413726806642
2,DepthwiseConv,4,0.023187999999999927,0.0016710003387451172
2,GroupConv,16,0.0758140000000002,0.005308356454467773
2,ShiftConv,16,0.026190000000000026,0.001788154165649414
2,Conv,16,0.109528,0.007583097875976561
2,DepthwiseConv,16,0.056931999999999795,0.004123879724121093
2,GroupConv,8,0.046532,0.0031947529815673824
2,ShiftConv,8,0.016871999999999873,0.0012034791229248048
2,Conv,8,0.058559999999999765,0.004125621972656249
2,DepthwiseConv,8,0.033538000000000026,0.0024413177032470705
0,GroupConv,32,0.8507860000000005,0.05037271877746579
0,ShiftConv,32,0.29076,0.01652881729431152
0,Conv,32,1.573129999999999,0.09517933607482906
0,DepthwiseConv,32,0.4369800000000002,0.02615171780090332
0,AddConv,32,1.687003999999999,0.0871853523468018
0,GroupConv,4,0.18838000000000008,0.01058176420898437
0,ShiftConv,4,0.03974399999999992,0.0021817788665771483
0,Conv,4,0.28384599999999993,0.01674147000732422
0,DepthwiseConv,4,0.08313999999999998,0.004941019061279296
0,AddConv,4,0.29446600000000017,0.01686312628784179
0,GroupConv,16,0.4481700000000001,0.026162762045288092
0,ShiftConv,16,0.14443399999999976,0.00788769387817383
0,Conv,16,0.8093779999999993,0.04800177603149413
0,DepthwiseConv,16,0.22991400000000004,0.01395533996887208
0,AddConv,16,0.8501179999999998,0.04934574584655763
0,GroupConv,8,0.27818600000000016,0.015377759307861331
0,ShiftConv,8,0.07547800000000007,0.004131007232666016
0,Conv,8,0.4639600000000002,0.027422721945190433
0,DepthwiseConv,8,0.12931200000000023,0.007586390624999999
0,AddConv,8,0.48391799999999974,0.027623254348754896
1,GroupConv,32,0.2707799999999998,0.014085029425048825
1,ShiftConv,32,0.08339000000000009,0.004601013116455078
1,Conv,32,0.5497860000000001,0.0328184973815918
1,DepthwiseConv,32,0.14326,0.008771763656616211
1,AddConv,32,0.7385820000000001,0.04498467852172849
1,ShiftConv,4,0.01531799999999992,0.0009437848937988283
1,Conv,4,0.07303399999999999,0.0044972424774169925
1,DepthwiseConv,4,0.027319999999999824,0.0016471686950683593
1,AddConv,4,0.10395199999999996,0.006532818493652345
1,GroupConv,16,0.13871000000000006,0.007543873818969725
1,ShiftConv,16,0.04289600000000011,0.002479475061035156
1,Conv,16,0.2695579999999999,0.016441101727294932
1,DepthwiseConv,16,0.07767000000000021,0.004872229550170898
1,AddConv,16,0.3676480000000001,0.02263232742004394
1,GroupConv,8,0.07719199999999983,0.004629991543579102
1,ShiftConv,8,0.02451600000000001,0.0014745151885986333
1,Conv,8,0.1386079999999999,0.008513056466674804
1,DepthwiseConv,8,0.04221,0.0024980051330566405
1,AddConv,8,0.19196599999999997,0.011910159027099607
