DSP,Layer type,Input width,Latency (s),Consumption (J)
2,GroupConv,32,0.07432999999999992,0.005126518981933594
2,ShiftConv,32,0.026690000000000148,0.0017866022552490235
2,Conv,32,0.109522,0.007459485443115234
2,DepthwiseConv,32,0.056932000000000135,0.004083472952270508
2,GroupConv,8,0.004747999999999929,0.0003694398742675782
2,ShiftConv,8,0.0015719999999999235,0.000127576904296875
2,Conv,8,0.006909999999999956,0.0005667802368164062
2,DepthwiseConv,8,0.003344000000000032,0.00026854998779296877
2,GroupConv,16,0.018856000000000064,0.0013543007446289062
2,ShiftConv,16,0.006535999999999817,0.0004948189270019531
2,Conv,16,0.02715599999999994,0.0019877906707763677
2,DepthwiseConv,16,0.013642000000000069,0.001097787176513672
2,GroupConv,24,0.04222800000000005,0.0029717592681884762
2,ShiftConv,24,0.014872000000000022,0.0010996539001464844
2,Conv,24,0.06084000000000014,0.004348632907104491
2,DepthwiseConv,24,0.030925999999999863,0.002365288595581055
0,GroupConv,32,0.44842800000000005,0.025747601943969727
0,ShiftConv,32,0.14139800000000008,0.007547146124267578
0,Conv,32,0.8093659999999997,0.04710795056762695
0,DepthwiseConv,32,0.22534400000000004,0.013473814599609377
0,AddConv,32,0.8666360000000003,0.04945742005004883
0,GroupConv,8,0.02535799999999991,0.0013865606414794921
0,ShiftConv,8,0.008744000000000043,0.0005327661071777345
0,Conv,8,0.04540799999999984,0.002774778634643555
0,DepthwiseConv,8,0.01372000000000008,0.0008294971160888673
0,AddConv,8,0.0513380000000002,0.0028916942871093755
0,GroupConv,16,0.107786,0.005868611416625976
0,ShiftConv,16,0.03495399999999992,0.0019393484069824217
0,Conv,16,0.19775600000000002,0.012205464715576174
0,DepthwiseConv,16,0.056482000000000136,0.0034419732147216798
0,AddConv,16,0.21302199999999993,0.012097566357421876
0,GroupConv,24,0.24921200000000007,0.013740515185546875
0,ShiftConv,24,0.07928800000000008,0.004382498593139649
0,Conv,24,0.4579120000000003,0.028189890774536142
0,DepthwiseConv,24,0.12855799999999995,0.007857103216552735
0,AddConv,24,0.48507600000000023,0.02789017256469726
1,GroupConv,32,0.13867000000000015,0.007540582983398436
1,ShiftConv,32,0.042899999999999994,0.002475515927124023
1,Conv,32,0.2694220000000003,0.016318705746459966
1,DepthwiseConv,32,0.07775399999999982,0.0048849015380859374
1,AddConv,32,0.36742799999999964,0.022624286389160156
1,GroupConv,8,0.008625999999999873,0.0005677027221679688
1,ShiftConv,8,0.0026139999999999484,0.00017738718566894532
1,Conv,8,0.016845999999999903,0.0010597310302734376
1,DepthwiseConv,8,0.004544000000000099,0.000306549838256836
1,AddConv,8,0.023009999999999923,0.001398681353759766
1,GroupConv,16,0.03465000000000004,0.0021078598937988285
1,ShiftConv,16,0.010631999999999935,0.0006700428039550781
1,Conv,16,0.06743800000000004,0.004189329959106446
1,DepthwiseConv,16,0.018430000000000044,0.001165264361572266
1,AddConv,16,0.092012,0.005329432122802734
1,GroupConv,24,0.07796199999999998,0.004697017758178711
1,ShiftConv,24,0.024067999999999944,0.0014481105560302735
1,Conv,24,0.15161399999999986,0.009335921255493165
1,DepthwiseConv,24,0.041417999999999934,0.0026232153991699214
1,AddConv,24,0.206836,0.011870191946411136
